,text
1,@kenjikenji3343 せやな　落雷撃たれたら全員張り付くしかなかったからなぁ　なんで速攻で雷銅狙いに行ったわ
4,@Mr8yt 違う違う。お化けは現実にいないけど殺人鬼は現実にいるじゃん〜。うーん、ホラーってなると難しいな。アメリカンサイコとかクレイジーで好きだけど結構スプラッタだし、羊たちの沈黙もゾクゾクして面白いけどエグいシーンはエグいし、ITもジュブナイル映画として見ても最高だけど割とグロいし…。
14,@EARL_Med_Tw @smith796000 窓の外にウイルスがいると分かったら普通窓を閉めるじゃないですか？でも窓を閉めるな！手洗いで予防しておけば良いんだ！騒ぐな！と言う人達がいる。 何故なのか考えたら、窓の外からお金も入ってこなくなる。患者が増えた方が医療業界が潤う。とかなんじゃないの？って思ってしまうんですよね…
15,@s_takanasi18782 うーん！w 死傷者0人！w
20,@kerochan0127 即記憶から抹消する
24,@pfg4g うおおあああああ(人工衛星に衝突)
27,仮面ライダーディケイド　第01話[公式] https://t.co/cpGnEBxzOx @YouTubeさんから ついに・・・きた・・・世界の破壊者・・・ OPもおしゃれすぎるんだよね！！　目撃せよ…
29,@colorme_xxx お引越しなのですか！ そのタイミングで負傷とは… お忙しいのに大変ですね！ お大事にしてくださいね！
33,@noooooooorth @TGN54 覚醒剤初犯は無条件執行猶予ですよ。 初犯でも営利目的所持は、厳しいですよ。
34,@waribaki すこすこの好け((o(^∇^)o)) 尊い上に守ってもらえるなんて…もう一生付いてまわりますね🕴(ストーカー)
41,@ocha0727 そんな事情があるんですね…。 実家が近いから私も車も避難できてるでありますが、本当にルール守れない人って許せないであります！
43,@Ke_Tu__ 飯テロすんなクソ野郎 嘘ですお腹いっぱいです
45,@punsukopien 無理です顔面土砂崩れなんで
52,@EZpftnHL2Kq0wLW ビッッッックリするくらい相性良くて秒で過去の恋人達抹消されてく系ね！！！！あの夜がやばすぎてお酒の匂いかいじゃうときゅんきゅんゾクゾクしちゃうパブロフゥ…！！！！
57,オランダ🇳🇱で驚いた事。それは、日本では「ダメ、絶対」の一言で思考停止して、禁止されてる大麻が合法で普通に街で売られていたこと。えこの違いは何なんだと。ー 『ナショナルジオグラフィック』が大麻特集　今こそ考えたい魅惑の植物 - KAI-YOU https://t.co/Z6oHEw8VI7 written by @yuukihonda96
59,@taueeee32 なんか今のリプだけ見ると私かなり重傷者みたい！！！ 早くアレルギー検査行くね!!!!!
66,@miku_kimimawa かわいさが暴走している…！
69,@RYUBCH 1年ちょっと前の、これらの会社や個人によるBCHハイジャック訴訟の最新情報ですね。しばらく続報が聞こえなかったのですが、まだ続いているようです https://t.co/XnVKMX5Iyv
79,@maritake1 #原子力緊急事態宣言 と同宣言下五輪の事実から #与野党マスコミみんなグル が分かる。#逢坂誠二 #小川淳也 と議員名書いても炎上しないw ①#原子力緊急事態宣言 https://t.co/anvmfRn6qd ②①に言及なし国会五輪成功決議 https://t.co/qgEkVX9jXs ③同じく赤旗 #宮本たけし https://t.co/0BQ5AwZmb5 https://t.co/AzIgFWA2Zh
81,@tonakimi_TL ひろさんのやけに語彙力の高い感想弾で完全に血まみれだし観客席まで飛ばされて爆発もした…www まず朝くんの寿命が軽率に人外化しててつらいwww
91,@matuJMd369 やっちゃいけないやつらばかり新人教育になる。年功序列の負の恩恵。気にすんな。甘々でやってるやつはいつか患者を殺す。
93,@mistycloudlove 交流会でふざけた名前にして翌日から隠居してます…ストーカーされたのでこっちでそんなにツイートしてないのもそのためです(´；ω；｀)
94,@nutanuta10 業務上横領ですね！☹️ お巡りさん！このナメクジです‼️
102,@karasuma114514 道路陥没して落ちた人居てもそのまま生き埋めにして抗議した遺族が監禁されて行方不明になる国はやる事が違いますね...
104,@info_history1 バカ息子の窃盗事件でトドメを刺されましたね  親と成人した子供は別人格ですが、日頃、自身の番組で政治家の不祥事を糾弾し続けてきた以上、いくら成人した息子とは言え、身内の不祥事にケジメをつけるのが道理ですならね
115,@Ren10576 この度吹雪様主催のシングルゲリラの確定枠を頂きたく、リプライさせていただきました！  代表者ID→@CgK3XtWyaLgr3Z6   コピペ用→CgK3XtWyaLgr3Z6   やる気と自信だけは十分あるのでご検討の程よろしくお願いします！
117,@kp_maiyou_rn 人質！！  そうか、人はこれを人質と呼ぶのか！
120,@HIKONYAN0406 ひこ友さんが続々とひこにゃん依存症と言われているww さすが普段から患者を自称してるだけのことはありますよね❣️(=´∀｀)人(´∀｀=)
124,@katsuyatakasu ごく初期から警鐘を鳴らされていた高須院長に賛同します。緊急事態におけるリスク・クライシスコミュニケーションについて理解されていない方の発言が多いので、コロナウイルスのような危機的状況における注意点をまとめました。  楽観的な表現をしないこと、個々人がするべき対策をすることが大切です https://t.co/72aQ9OW2Rk
126,@seri969 ぽんたん、出来る女や( ˘-˘ )ｼﾞｰﾝ 穴って(;ﾟ;ж;ﾟ;)ﾌﾞｯ何で穴空いてるんや(っ`ω´c)ｷﾞﾘｨ 怪我せんかったか？:( ;´꒳`;):
130,@robert_KIMATA 今更かつ重箱の隅ですけど、経路ハイジャックの可能性は減らせないですね。
133,@Heil_Johannes 太陽が燃えている
134,@EsuesuWonder 前者はバズり目的のネットメディアで後者はケーブル局なのですが、これらフェイクニュースはアメリカでは社会問題になっております。例えばOANという局はこれまでも親トランプ派として虚偽報道を繰り返しており、攻撃対象は銃撃事件の生存者から映画監督まで多岐に渡りますが、視聴者を増やしています https://t.co/wroG3MREfH
144,@mr_yan_vip @iguangcheng 另外，拍攝者喘成那樣仍未被插管 因為若被插管根本不可能還能如此有意識的拍攝  昨天看到某節目 台灣的重症醫師看到這次中國的武漢肺炎的重症插管比例不到20%也深感訝異  連插管的比率都如此低 更遑論進一步的氣切供氧了 https://t.co/348YGBu6wP
147,@NakashimaMinion @beyond_girls @kozakozakozani 会いに行きたかったよ〜😭  先々週金曜日から、熱が上がったり下がったりを響が繰り返してて、開業医から大学病院へ。あちこち検査したけど原因不明。幸いなのは、彼のトークが健在な事。それがなければ入院レベルの採血結果。明日も通院。
153,@ekimae_moai まあ俺はあの問題よく分からんから何とも言えないけど、基本は自分の欲しいポスターもらえないことへの避難が9割だと思うがな。
157,フリージオ@オッカ 臆病 浮遊 CS252 凍える風/ラスターカノン/吹雪/零度   最速の零度使い、サブウェイのポケモンではスカーフカイロスに継ぎギャロップとタイで2番目に速い一撃持ちである。  フリーザーと同じく一致バレットパンチで対策可能。
165,@UhCV4yoia5IgU5m クリスマスローズ様、我々には余裕がありません。周知・撲滅をお願い致します。　タグ：イジメ　集団ストーカー　テクノロジー犯罪　電磁波犯罪　薬　自殺　大量殺人
166,@SaguCarrot 昨日はしかたなかた笑 相手が潰れない自信あるってゆーから同じペースで飲ませてたらゲロ吐きまくって近場のホテルに避難したとゆー笑
167,@ebisu1107 入り口に入ろうかとしたところでおじいちゃん👴カーが出て来て…は？ってなって。 タイミング悪かったら正面衝突です、何食わぬ顔で道路に出ていきましたけど。 店の作りからして、ドライブスルーは完全に一本道なのよね、謎すぎる😱
170,@nervty 致命的ですねぇ…
173,@s_life_xl 左側っていっぱい来る気がしたw 喉負傷したらしいな
176,@matsuri_kzmy カロリー爆弾
181,@3193LABO 先生！横浜に大麻入りビールありましたよ!! https://t.co/4c9HrbeGtI
182,@Jinguuji_Kei そもそも爆撃機なんて今の時代使う機会が
187,@hamarajitetsu 16日に #帝点観測 前におじゃましました😅 その近くの交番の警察官、親切でした🚓👮
192,@uuso13k2 生存者4人の立ってるアングルいやらしいですよね…！あのアングルならいっその事アイテム左手持ちにして貰わないとキャラによって本当にわかりづらいです…！えぇ…！全員リーチで鍵脱出の残忍は報われないにも程があります…！😭😭
195,@wangjing1123 你个警察不点枪械专精怎么全加搏击术上去了？！
196,@unchiaikouka 飯テロ好きなの笑
204,@s_kun10_ おれらで大災害引き起こそうぜ
